line_id,file_name,prob_output,accurate
137,K1lm031participant_lock.wav,"{""chick"": 0.0, ""sick"": 0.0, ""rock"": 0.0, ""lock"": 1.00000000000004, ""loch"": 0.0, ""locke"": 1.999999994411214e-15}",1
138,K1cb103participant_run.wav,"{""chip"": 0.0, ""ship"": 0.0, ""run"": 0.0, ""one"": 1.00000000000004}",0
139,K1lt225participant_ship.wav,"{""chip"": 0.0, ""ship"": 1.00000000000004, ""run"": 0.0, ""one"": 0.0}",1
140,K1pe131participant_socks.wav,"{""window"": 0.0, ""fox"": 0.0, ""socks"": 1.00000000000004, ""rainbow"": 0.0}",1
141,K1pv038participant_ramp.wav,"{""ramp"": 0.9999947548186582, ""shoe"": 0.0, ""zoo"": 0.0, ""lamp"": 4.196903103111946e-08}",1
142,K1lt133participant_window.wav,"{""window"": 1.00000000000004, ""fox"": 0.0, ""socks"": 0.0, ""rainbow"": 0.0}",1
143,K1lt225participant_lamp.wav,"{""ramp"": 0.0, ""shoe"": 0.0, ""zoo"": 0.0, ""lamp"": 0.0}",0
144,K1pv023participant_wing.wav,"{""wing"": 1.00000000000004, ""ring"": 0.0, ""sun"": 0.0, ""thumb"": 0.0}",1
145,K1lt112participant_chip.wav,"{""chip"": 1.00000000000004, ""ship"": 0.0, ""run"": 0.0, ""one"": 0.0}",1
146,K1pe044participant_sun.wav,"{""thumb"": 0.0, ""sun"": 0.0, ""ring"": 0.0, ""wing"": 0.0, ""son"": 1.00000000000004}",1
147,K1lt345participant_wing.wav,"{""wing"": 1.0000000000000389, ""ring"": 1.823161719409864e-12, ""sun"": 0.0, ""thumb"": 0.0}",1
148,K1sp611participant_sand.wav,"{""fan"": 0.0, ""sand"": 1.0000000685152115, ""red"": 0.0, ""leg"": 0.0}",1
149,K1so095participant_rock.wav,"{""chick"": 0.0, ""sick"": 0.0, ""rock"": 1.00000000000004, ""lock"": 0.0}",1
150,K1lm067participant_thumb.wav,"{""thumb"": 1.00000000000004, ""sun"": 0.0, ""ring"": 0.0, ""wing"": 0.0}",1
151,K1lm067participant_run.wav,"{""chip"": 0.0, ""ship"": 0.0, ""run"": 0.9999999682570948, ""one"": 1.1059884004899388e-10}",1
152,K1pb318participant_run.wav,"{""chip"": 0.0, ""ship"": 0.0, ""run"": 1.00000000000004, ""one"": 0.0}",1
153,K1dd105participant_thumb.wav,"{""thumb"": 0.0, ""sun"": 0.0, ""ring"": 1.4742070728848204e-12, ""wing"": 0.0}",0
154,K1lt247participant_lamp.wav,"{""ramp"": 0.0, ""shoe"": 0.0, ""zoo"": 0.0, ""lamp"": 1.00000000000004}",1
155,K1pe022participant_shoe.wav,"{""ramp"": 0.0, ""shoe"": 0.0, ""zoo"": 0.0, ""lamp"": 0.0, ""shoo"": 0.0, ""shue"": 0.0}",0
156,K1pe044participant_window.wav,"{""window"": 1.00000000000004, ""fox"": 0.0, ""socks"": 0.0, ""rainbow"": 0.0}",1
157,K1xl011participant_ring.wav,"{""ring"": 1.00000000000004, ""wing"": 0.0, ""thumb"": 0.0, ""sun"": 0.0}",1
158,K1lm026participant_fox.wav,"{""window"": 0.0, ""fox"": 1.00000000000004, ""socks"": 0.0, ""rainbow"": 0.0, ""sox"": 0.0}",1
159,K1pv016participant_fan.wav,"{""fan"": 0.0018704295941910634, ""sand"": 0.00046398770498451924, ""red"": 0.0009284568752938199, ""leg"": 0.0}",1
160,K1pe147participant_shoe.wav,"{""ramp"": 0.0, ""shoe"": 0.0, ""zoo"": 0.0, ""lamp"": 0.0, ""shoo"": 0.0, ""shue"": 0.0}",0
161,K1TEST1participant_chip.wav,"{""chip"": 1.0000000002022855, ""ship"": 0.0, ""run"": 0.0, ""one"": 0.0}",1
162,K1pb304participant_sick.wav,"{""chick"": 0.0, ""sick"": 1.00000000000004, ""rock"": 0.0, ""lock"": 0.0}",1
163,K1dd084participant_lock.wav,"{""chick"": 0.0, ""sick"": 0.0, ""rock"": 0.0, ""lock"": 1.00000000000004, ""loch"": 0.0, ""locke"": 1.999999994411214e-15}",1
164,K1dd021participant_socks.wav,"{""window"": 0.0, ""fox"": 0.0, ""socks"": 0.0, ""rainbow"": 0.0}",0
165,K1pb318participant_window.wav,"{""window"": 1.00000000000004, ""fox"": 0.0, ""socks"": 0.0, ""rainbow"": 0.0}",1
166,K1lm018participant_ring.wav,"{""ring"": 0.0, ""wing"": 1.00000000000004, ""thumb"": 0.0, ""sun"": 0.0}",0
167,K1dd092participant_sick.wav,"{""chick"": 0.0, ""sick"": 1.038837428096511e-05, ""rock"": 0.0, ""lock"": 0.0}",1
168,K1cc014participant_lock.wav,"{""chick"": 0.0, ""sick"": 0.0, ""rock"": 0.0, ""lock"": 1.00000000000004, ""loch"": 0.0, ""locke"": 1.999999994411214e-15}",1
169,K1dd073participant_sun.wav,"{""thumb"": 0.0, ""sun"": 0.0, ""ring"": 0.0, ""wing"": 0.0, ""son"": 0.0}",0
170,K1lt112participant_lamp.wav,"{""ramp"": 6.901103409518512e-10, ""shoe"": 0.0, ""zoo"": 0.0, ""lamp"": 1.0000000000137947}",1
171,K1qq111participant_sick.wav,"{""chick"": 0.0, ""sick"": 1.00000000000004, ""rock"": 0.0, ""lock"": 0.0}",1
172,K1pb318participant_rainbow.wav,"{""window"": 0.0, ""fox"": 0.0, ""socks"": 0.0, ""rainbow"": 1.00000000000004}",1
173,K1cb116participant_chip.wav,"{""chip"": 0.0010177564716844743, ""ship"": 0.0015950774410893812, ""run"": 0.0009462895565380866, ""one"": 0.0015232120717568803}",0
174,K1AM166participant_ramp.wav,"{""ramp"": 0.0, ""shoe"": 0.0, ""zoo"": 0.0005497448432499261, ""lamp"": 0.0}",0
175,K1WA246participant_lock.wav,"{""chick"": 0.0, ""sick"": 0.0, ""rock"": 0.0, ""lock"": 1.00000000000004, ""loch"": 0.0, ""locke"": 1.999999994411214e-15}",1
176,K1lt017participant_window.wav,"{""window"": 1.00000000000004, ""fox"": 0.0, ""socks"": 0.0, ""rainbow"": 0.0}",1
177,K1lt038participant_shoe.wav,"{""ramp"": 0.0, ""shoe"": 0.0012240313201066244, ""zoo"": 0.002865460383751048, ""lamp"": 0.0, ""shoo"": 0.0, ""shue"": 0.0}",0
178,K1lt311participant_chick.wav,"{""chick"": 0.15811530913412383, ""sick"": 0.0014272010525396264, ""rock"": 0.0009600337600648415, ""lock"": 0.0004467908748839384}",1
179,K1lt332participant_thumb.wav,"{""thumb"": 0.0015306142070152804, ""sun"": 0.08622722799196812, ""ring"": 0.0, ""wing"": 0.00039755612212266704}",0
180,K1pb227participant_fox.wav,"{""window"": 0.0, ""fox"": 0.0, ""socks"": 0.0, ""rainbow"": 0.0, ""sox"": 0.0}",0
181,K1pe077participant_fan.wav,"{""fan"": 1.00000000000004, ""sand"": 0.0, ""red"": 0.0, ""leg"": 0.0}",1
182,K1so095participant_ship.wav,"{""chip"": 0.0, ""ship"": 0.0, ""run"": 0.0, ""one"": 0.001459604017992562}",0
183,K1pv058participant_lock.wav,"{""chick"": 0.0, ""sick"": 0.0, ""rock"": 0.0, ""lock"": 0.0, ""loch"": 0.0, ""locke"": 0.0}",0
184,K1lt112participant_shoe.wav,"{""ramp"": 0.0, ""shoe"": 0.0006297232014487944, ""zoo"": 0.0011469144278348311, ""lamp"": 0.0, ""shoo"": 0.0, ""shue"": 0.0}",0
185,K1EB212participant_zoo.wav,"{""ramp"": 0.0, ""shoe"": 0.0, ""zoo"": 0.11163850925248155, ""lamp"": 0.0}",1
186,K1qq111participant_run.wav,"{""chip"": 0.0, ""ship"": 0.0, ""run"": 1.00000000000004, ""one"": 0.0}",1
